Rank, Player, PlayerID, Peak Ghost Rating
1, "MadMarx"-"0", 5210, 1037.22909143173
2, "TheMasterGamer"-"0", 6454, 767.034381678411
3, "peterwiggin"-"0", 2547, 736.812255822528
4, "Babak"-"0", 11051, 704.691517583639
5, "TheWizard"-"0", 10873, 681.58970117283
6, "MarekP"-"0", 2560, 679.792615981575
7, "Dejan0707"-"0", 24139, 651.752103650175
8, "zultar"-"0", 33599, 650.468401362063
9, "VillageIdiot"-"0", 44663, 647.771431565166
10, "uclabb"-"0", 5775, 646.881639294715
11, "President Eden"-"0", 25958, 639.095408527197
12, "Octavious"-"0", 23277, 627.758004830949
13, "SplitDiplomat"-"0", 36887, 627.042604982758
14, "BESM"-"0", 6789, 609.197838166936
15, "The Hanged Man"-"0", 16970, 594.016699827284
16, "Rait"-"0", 950, 591.229430757504
17, "Barn3tt"-"0", 20728, 588.75947967571
18, "Silver Wolf"-"0", 7150, 586.197870979097
19, "Crazyter"-"0", 15679, 573.03844195915
20, "djbent"-"0", 11891, 568.268393270209
21, "LeonTrotsky"-"0", 48514, 567.538190473319
22, "Sh@dow"-"0", 64428, 558.199753016232
23, "dave bishop"-"0", 18322, 557.976113098434
24, "seth24c"-"0", 43472, 543.317730008616
25, "anlari"-"0", 964, 540.415600717956
26, "jmo1121109"-"0", 15658, 534.424930651533
27, "CSteinhardt"-"0", 43811, 523.925447686835
28, "Nikola Maric Eto"-"0", 49036, 522.533997040332
29, "BigZombieDude"-"0", 15832, 522.256525900157
30, "cgwhite32"-"0", 3927, 522.051551774727
31, "Ivo_ivanov"-"0", 5945, 521.670466435938
32, "naked"-"0", 68573, 514.569376819359
33, "rhino86"-"0", 16965, 512.62404026907
34, "thehamster"-"0", 37759, 510.801519411886
35, "alamothe"-"0", 2735, 507.817058867348
36, "slyster"-"0", 33985, 502.089105635916
37, "martinck1"-"0", 19489, 501.721895570641
38, "Hellenic Riot"-"0", 23172, 500.128989134221
39, "Socrates Dissatisfied"-"0", 43770, 498.154949255765
40, "Gen. Lee"-"0", 46077, 496.813398844047
41, "flashman"-"0", 3474, 494.810907850552
42, "Attavior"-"0", 15485, 494.802096979276
43, "ssorenn"-"0", 56503, 493.59336789916
44, "Braveheart"-"0", 4010, 491.794194709877
45, "rdrivera2005"-"0", 16691, 489.208735076092
46, "Tasnica"-"0", 37930, 488.746901617423
47, "Ogion"-"0", 58511, 483.532121794277
48, "sweetwatersam"-"0", 19396, 475.31604143625
49, "Yonni"-"0", 33239, 474.606060284085
50, "Maettu"-"0", 29432, 469.302105068606
51, "EightfoldWay"-"0", 36909, 467.9037849097
52, "chluke"-"0", 49505, 467.525717361236
53, "Jacob"-"0", 9013, 466.595787476994
54, "MKECharlie"-"0", 23113, 465.008332471105
55, "bartdogg42"-"0", 11454, 463.479579873571
56, "Akroma"-"0", 8566, 463.029630706836
57, "Cachimbo"-"0", 33330, 462.751328929812
58, "gantz"-"0", 21124, 462.468760202606
59, "LanGaidin"-"0", 12510, 458.070052788773
60, "fetteper"-"0", 19520, 457.726381862256
61, "Serioussham"-"0", 16966, 453.933925683106
62, "Darwyn"-"0", 3410, 451.624270475061
63, "A_Tin_Can"-"0", 54909, 449.369359670397
64, "Sargmacher"-"1", 32304, 448.572646359463
65, "mcbigski"-"0", 36146, 442.693545076489
66, "ckroberts"-"0", 40293, 442.446592213583
67, "Bearnstien"-"1", 17706, 441.604712728314
68, "el_maestro"-"0", 5046, 441.106191005248
69, "Dizzy"-"1", 34274, 439.882179800759
70, "Vaftrudner"-"0", 17380, 437.957013195731
71, "Agent K"-"1", 22472, 437.847780277633
72, "BoG75"-"0", 3514, 436.641560179109
73, "xorxes"-"0", 42435, 434.089165728037
74, "ag7433"-"0", 10347, 430.501938908794
75, "Thucydides"-"0", 4102, 430.071194915209
76, "Amwidkle"-"0", 61460, 421.097744390668
77, "Polar Bear"-"0", 4761, 420.62887241153
78, "Tusky McMammoth"-"0", 21438, 419.676091807791
79, "jmeyersd"-"0", 21355, 418.208826350328
80, "basvanopheusden"-"0", 26517, 418.183542587313
81, "FloatingLakes"-"0", 13890, 417.429602732822
82, "Ebay"-"0", 25953, 417.11420167921
83, "Valis2501"-"0", 63487, 416.114281742232
84, "sswang"-"0", 7490, 415.997284576858
85, "Julien"-"0", 6532, 413.489323233768
86, "raapers"-"0", 21258, 412.766492765837
87, "Laoban"-"0", 10545, 411.069824308756
88, "ghug"-"0", 37168, 409.522390864407
89, "Centurian"-"0", 6265, 407.49583113964
90, "MrcsAurelius"-"0", 37025, 407.250422009551
91, "Malleus"-"0", 12565, 405.260436036495
92, "Perry6006"-"0", 17783, 404.790515744687
93, "sean"-"0", 4029, 404.67008111288
94, "DipperDon"-"0", 9735, 403.287312405417
95, "The Czech"-"0", 17724, 402.598605549087
96, "WarLegend"-"0", 37569, 401.876731529784
97, "Lando Calrissian"-"0", 19131, 401.802408769655
98, "Noirin"-"0", 1824, 400.542344670924
99, "WRB"-"0", 12761, 398.00387550784
100, "Stubie"-"0", 71149, 393.768137807459
101, "superchunk"-"0", 10246, 391.823701729008
102, "josemurc"-"0", 17667, 390.679734945633
103, "VanHaylen"-"1", 28892, 387.131425810058
104, "Treefarn"-"0", 5265, 387.085576907292
105, "Dunecat"-"0", 11650, 387.062105745528
106, "IKE"-"0", 12466, 385.852711653324
107, "Hapapop"-"0", 63771, 385.335405828665
108, "rokakoma"-"0", 25125, 384.822926622402
109, "Tom Bombadil"-"0", 25560, 383.547222091135
110, "Indybroughton"-"0", 25946, 382.73491606781
111, "rhydon"-"0", 17621, 380.490158835344
112, "V+"-"0", 10008, 379.107771881697
113, "Stripy"-"0", 12063, 378.26914829307
114, "Floodgates"-"0", 12017, 376.870829097747
115, "Yaleunc"-"0", 52728, 376.758471457878
116, "sereginss"-"0", 34476, 375.685356299945
117, "KingJohnII"-"0", 38940, 375.587211844864
118, "rosem1"-"0", 29107, 374.672820399708
119, "Amon Savag"-"0", 25189, 374.273418975349
120, "Partysane"-"0", 41415, 372.520002315903
121, "Plastic Hussar"-"0", 16234, 371.603733139461
122, "genghiz"-"0", 64274, 371.070002661401
123, "Vampiero"-"0", 2061, 369.552956705353
124, "Troodonte"-"0", 12416, 369.175020951259
125, "TheGhostmaker"-"0", 2188, 367.73036544882
126, "lambda"-"0", 58210, 366.983373095372
127, "0k0k0"-"0", 67592, 366.225196483312
128, "xgongiveit2ya55"-"0", 5385, 366.009359021672
129, "BigZT"-"0", 40821, 365.345692387394
130, "KalelChase"-"0", 30452, 363.591923384986
131, "benjormungand"-"0", 20297, 361.621984947132
132, "drano019"-"0", 18232, 360.98001050909
133, "laurence208y"-"0", 5965, 360.867313478654
134, "Fortress Door"-"0", 42498, 360.355641373408
135, "Macchiavelli"-"0", 31187, 359.030531639277
136, "Filliam H Muffman"-"0", 36606, 356.530472609704
137, "stratagos"-"0", 8290, 355.529437517246
138, "Wyludniacz"-"0", 45284, 355.128236698934
