Rank, Player, PlayerID, Peak Ghost Rating
1, "SplitDiplomat"-"0", 36887, 495.624226485106
2, "Nikola Maric Eto"-"0", 49036, 414.214891245556
3, "Barn3tt"-"0", 20728, 376.552072444915
4, "CSteinhardt"-"0", 43811, 330.572194977041
5, "genghiz"-"0", 64274, 311.428065300596
6, "Partysane"-"0", 41415, 301.123344007611
7, "Maettu"-"0", 29432, 288.818828628579
8, "seth24c"-"0", 43472, 287.820241899602
9, "xorxes"-"0", 42435, 284.92325958959
10, "swordsman3003"-"0", 36106, 277.852412871751
11, "josemurc"-"0", 17667, 274.637047282245
12, "The Czech"-"0", 17724, 274.240716179333
13, "Fairfax"-"0", 46314, 270.209443593962
14, "Sargmacher"-"1", 32304, 267.663898450647
15, "Amwidkle"-"0", 61460, 265.679039569551
16, "naked"-"0", 68573, 264.711689932932
17, "Theoneandonly"-"0", 99646, 259.028146651797
18, "Yaleunc"-"0", 52728, 258.543719936876
19, "guak"-"0", 30256, 250.316923740441
20, "rokakoma"-"0", 25125, 249.386643780996
21, "cspieker"-"0", 41816, 248.026453813371
22, "NoFog"-"0", 38917, 247.390167960494
23, "Fortress Door"-"0", 42498, 241.763831578712
24, "New England Fire Squad"-"0", 96423, 236.532564000662
25, "Tugster"-"0", 86502, 235.500027191157
26, "y2kjbk"-"0", 46594, 235.400560983112
27, "quarryman"-"0", 44661, 235.310766243845
28, "jmeyersd"-"0", 21355, 235.150427936677
29, "tektelmektel"-"0", 22595, 233.983996753329
30, "curtis"-"0", 18233, 226.97178769582
31, "josunice"-"0", 27863, 225.479891553415
32, "Tibarius"-"0", 17272, 224.72842476578
33, "2ndWhiteLine"-"0", 37127, 223.09951358939
34, "Lando Calrissian"-"0", 19131, 220.043339971786
35, "Zmaj"-"0", 43830, 218.262906205068
36, "Vom Kriege"-"0", 80470, 217.856637645831
37, "QuackkAttackk"-"0", 82845, 215.24027952548
38, "5nk"-"1", 22503, 214.829726599214
39, "Yoyoyozo"-"0", 65915, 213.970823282569
40, "svkrIs"-"0", 83933, 211.709521527927
41, "Claesar"-"0", 74492, 211.649209928199
42, "NigeeBaby"-"0", 40995, 208.808442360166
