Rank, Player, PlayerID, Peak Ghost Rating
1, "MadMarx"-"0", 5210, 510.968140961031
2, "peterwiggin"-"0", 2547, 406.560975249152
3, "Silver Wolf"-"0", 7150, 398.996849843562
4, "Dejan0707"-"0", 24139, 393.909577573779
5, "TheWizard"-"0", 10873, 368.018542310041
6, "VillageIdiot"-"0", 44663, 361.60612126093
7, "Babak"-"0", 11051, 360.847535764748
8, "djbent"-"0", 11891, 343.882995145273
9, "Crazyter"-"0", 15679, 329.575407713702
10, "sswang"-"0", 7490, 313.037981041303
11, "The Hanged Man"-"0", 16970, 299.927532722844
12, "Perry6006"-"0", 17783, 293.982592180678
13, "Yonni"-"0", 33239, 287.925174606848
14, "martinck1"-"0", 19489, 285.204687626072
15, "MKECharlie"-"0", 23113, 273.039582292319
16, "Akroma"-"0", 8566, 272.491074213613
17, "WarLegend"-"0", 37569, 269.962256577427
18, "millerso"-"0", 20243, 267.258309037901
19, "rdrivera2005"-"0", 16691, 263.823296054411
20, "Ebay"-"0", 25953, 262.393910964156
21, "slyster"-"0", 33985, 260.257881539853
22, "BoG75"-"0", 3514, 258.386491427076
23, "Tom Bombadil"-"0", 25560, 255.334323480327
24, "Sh@dow"-"0", 64428, 252.33607067461
25, "LanGaidin"-"0", 12510, 250.054513978342
26, "Braveheart"-"0", 4010, 248.929265487895
27, "Ogion"-"0", 58511, 248.113233336758
28, "President Eden"-"0", 25958, 246.67769805161
29, "Cachimbo"-"0", 33330, 246.102699006532
30, "cgwhite32"-"0", 3927, 243.867584245155
31, "Laoban"-"0", 10545, 243.10813018885
32, "Serioussham"-"0", 16966, 242.974706900311
33, "Thucydides"-"0", 4102, 241.336834792035
34, "stratagos"-"0", 8290, 235.806125835517
35, "Centurian"-"0", 6265, 234.061053063043
36, "dgibson987"-"0", 63310, 232.898413855432
37, "MarekP"-"0", 2560, 232.553856069141
38, "BESM"-"0", 6789, 232.157277676114
39, "Puma"-"0", 18119, 231.50890084756
40, "Valis2501"-"0", 63487, 230.768949046779
41, "uclabb"-"0", 5775, 229.908100946827
42, "Octavious"-"0", 23277, 229.497600342786
43, "Gen. Lee"-"0", 46077, 228.493894879655
44, "ckroberts"-"0", 40293, 227.124701856601
45, "ghug"-"0", 37168, 226.854657274706
46, "Tasnica"-"0", 37930, 224.762115606216
47, "Jacob"-"0", 9013, 224.408351429664
48, "TheMasterGamer"-"0", 6454, 224.17544865519
49, "ssorenn"-"1", 56503, 220.769756930701
50, "gantz"-"0", 21124, 220.704220182682
51, "Ivo_ivanov"-"0", 5945, 217.298722143296
52, "dave bishop"-"0", 18322, 216.94877295664
53, "Danaman"-"0", 15460, 216.712604301867
54, "xfile8888"-"0", 6937, 213.8110420466
55, "xgongiveit2ya55"-"0", 5385, 213.668018931223
56, "grncton"-"0", 14641, 213.327834178586
57, "Socrates Dissatisfied"-"0", 43770, 212.383698871884
58, "Napoleon of Oz"-"0", 19296, 212.281506776993
59, "Tusky McMammoth"-"0", 21438, 212.183558998336
60, "moses"-"0", 21790, 210.216790708233
61, "myth1202"-"0", 17769, 210.147426010866
62, "Troodonte"-"0", 12416, 209.503028271812
63, "Pantalone"-"0", 10190, 208.696739859165
64, "Spartan 00256"-"0", 6559, 207.877511782944
65, "Darwyn"-"0", 3410, 207.301739971689
66, "shadowbanana"-"1", 39463, 206.670753852561
67, "Julien"-"0", 6532, 206.473512524403
68, "DingleberryJones"-"0", 8019, 205.797749411673
69, "jmbostwick"-"0", 44387, 205.781942075335
70, "ag7433"-"0", 10347, 205.391289521801
71, "mapleleaf"-"1", 3959, 204.836267971888
72, "C-K"-"0", 17719, 204.489274650474
73, "Agent K"-"1", 22472, 204.303161520188
74, "Labond"-"0", 3644, 203.620676876991
75, "JPS"-"0", 68102, 203.38619821269
76, "goldfinger0303"-"0", 28372, 202.915943535356
77, "AgentF"-"0", 20711, 202.662341434391
78, "Maettu"-"0", 29432, 202.62638874142
79, "Bogatir"-"0", 24275, 201.877551020408
80, "ggoat"-"0", 35773, 198.776644146448
81, "user#12321"-"0", 20609, 198.648118344326
82, "Tru Ninja"-"0", 10675, 198.122893965142
83, "anlari"-"0", 964, 198.053117161675
84, "basvanopheusden"-"0", 26517, 197.354275523943
85, "bartdogg42"-"0", 11454, 196.106686357666
86, "IKE"-"0", 12466, 195.119429705539
87, "Lando Calrissian"-"0", 19131, 193.645657916387
88, "abgemacht"-"0", 4946, 193.211602257853
89, "Malleus"-"0", 12565, 192.781328783821
90, "Sargmacher"-"1", 32304, 192.438495892948
91, "chluke"-"0", 49505, 192.255033824428
92, "rhydon"-"0", 17621, 192.254040886123
93, "kramerkov18"-"0", 48969, 191.755853504875
94, "jmo1121109"-"0", 15658, 191.711211815271
95, "L1star"-"0", 18481, 190.808760380437
96, "lulzworth"-"0", 10137, 190.094479069208
97, "benjormungand"-"0", 20297, 189.792880033452
98, "orathaic"-"0", 5147, 189.726099032281
99, "Nadji"-"0", 9077, 188.841171149493
100, "Polar Bear"-"0", 4761, 187.386947695634
101, "BigZombieDude"-"0", 15832, 185.807042398066
102, "Code Bomb"-"0", 64642, 184.980453181207
103, "SpookyJuice"-"0", 18858, 184.109467160039
104, "guy~~"-"0", 17497, 183.886197237388
105, "texasdeluxe"-"0", 7039, 183.578598181074
106, "fulhamish"-"0", 28562, 182.894452618033
107, "Per Olander"-"0", 28893, 182.289367786599
108, "The Czech"-"0", 17724, 181.87743145754
109, "mdruskin"-"0", 5221, 181.383312457171
110, "acornist"-"0", 64185, 181.134802509265
111, "allanxo"-"0", 13627, 180.936803030932
112, "Marz"-"0", 63773, 180.926113588221
113, "Steamy Nicks"-"0", 66231, 180.652315046323
